Fecha,Estacion_mm,IMERG_v6B_mm,CR2MET_v2_mm,RFMEP_v2_mm,ERA5_mm,CHIRPS_v2_mm,TMPA-3B42v7_mm
1979-11-23,-9999,-9999,0,-9999,-9999,-9999,-9999
1979-11-24,-9999,-9999,0,-9999,-9999,-9999,-9999
1979-11-25,-9999,-9999,0,-9999,-9999,-9999,-9999
1979-11-26,-9999,-9999,0,-9999,-9999,-9999,-9999
1979-11-27,-9999,-9999,0,-9999,-9999,-9999,-9999
1979-11-28,-9999,-9999,0,-9999,-9999,-9999,-9999
1979-11-29,-9999,-9999,0,-9999,-9999,-9999,-9999
1979-11-30,-9999,-9999,0,-9999,-9999,-9999,-9999
1979-12-01,-9999,-9999,0,-9999,-9999,-9999,-9999
1979-12-02,-9999,-9999,0,-9999,-9999,-9999,-9999
1979-12-03,-9999,-9999,0,-9999,-9999,-9999,-9999
1979-12-04,-9999,-9999,0,-9999,-9999,-9999,-9999
1979-12-05,-9999,-9999,0,-9999,-9999,-9999,-9999
1979-12-06,-9999,-9999,0,-9999,-9999,-9999,-9999
1979-12-07,-9999,-9999,0,-9999,-9999,-9999,-9999
1979-12-08,-9999,-9999,0,-9999,-9999,-9999,-9999
1979-12-09,-9999,-9999,0,-9999,-9999,-9999,-9999
1979-12-10,-9999,-9999,0,-9999,-9999,-9999,-9999
1979-12-11,-9999,-9999,0,-9999,-9999,-9999,-9999
1979-12-12,-9999,-9999,8.07,-9999,-9999,-9999,-9999
1979-12-13,-9999,-9999,7.88,-9999,-9999,-9999,-9999
1979-12-14,-9999,-9999,0,-9999,-9999,-9999,-9999
1979-12-15,-9999,-9999,0,-9999,-9999,-9999,-9999
1979-12-16,-9999,-9999,0,-9999,-9999,-9999,-9999
1979-12-17,-9999,-9999,0,-9999,-9999,-9999,-9999
1979-12-18,-9999,-9999,0,-9999,-9999,-9999,-9999
1979-12-19,-9999,-9999,0,-9999,-9999,-9999,-9999
